;std
BBG000BL0P40;0.014
BBG000DV7MX4;0.034
BBG000GQJPZ0;0.092
BBG000CSZKR2;0.067
BBG000BFS7D3;0.025
BBG000BW6P59;0.019
BBG000DGLTG5;0.016
BBG000BFC848;0.035
BBG0136WM1M4;0.082
BBG000BWNV93;0.015
BBG000BS5CM9;0.023
BBG000D7JKW9;0.028
BBG001NFKJ68;0.048
BBG0043BYPB8;0.061
BBG00KHHBMC5;0.052
BBG000C2YHG9;0.029
BBG002VZ68Y2;0.047
BBG005DXJS36;0.04
BBG000BY2Y78;0.026
BBG000BRXP69;0.027
BBG000C1XKF6;0.021
BBG000FFC0B3;0.025
BBG00KR691K8;0.046
BBG006L8G4H1;0.026
BBG000F9XKN7;0.047
BBG001LFLZZ1;0.024
BBG000QM0RZ4;0.019
BBG000BR2040;0.022
BBG004S641N5;0.046
BBG000DW4Q75;0.017
BBG000JLC8L8;0.021
BBG00YTS96G2;0.034
BBG000BQ87N0;0.014
BBG000C19QW1;0.014
BBG000BKXYX5;0.043
BBG000BQ74K1;0.024
BBG00D0Y81M1;0.021
BBG000P458P3;0.019
BBG000C30L48;0.047
BBG004730ZJ9;0.0
BBG00LPTHYD5;0.037
BBG000F02T51;0.016
BBG00FQ8T4G3;0.059
BBG000C4HKK2;0.031
BBG0042V6JM8;0.043
BBG000BB07P9;0.022
BBG000CGQ4F7;0.029
BBG000BT3HG5;0.05
BBG000D7HF89;0.017
BBG000D9H9F1;0.053
BBG000K88H58;0.016
BBG000BN8ZK8;0.034
BBG000BLFNC0;0.021
BBG000RMWQD4;0.024
BBG000BB5792;0.049
BBG000BYQ0B1;0.022
BBG000BBBNC6;0.019
BBG000BJ0932;0.024
BBG00ZKY1P71;0.191
BBG00658F3P3;0.038
BBG000BL8476;0.017
BBG000BK28N7;0.044
BBG000RGM5P1;0.024
BBG000RP8V70;0.021
BBG00ZQRGW24;0.02
BBG00475JZZ6;1.648
BBG000C3GN47;0.025
BBG000BPWGR1;0.02
BBG000BLN497;0.019
BBG000BVMGF2;0.018
BBG000NWQ9S5;0.04
BBG000D2M0Z7;0.024
BBG00W9LF2G5;0.178
BBG000BCTLF6;0.025
BBG00R2NHQ65;0.035
BBG0135B2214;0.025
BBG000BBPFB9;0.034
BBG000P5JQX6;0.062
BBG000BH4R78;0.024
BBG0026ZDHR0;0.063
BBG000RVD346;0.026
BBG008HNHZ07;0.017
BBG000B9XRY4;0.022
BBG00YJKWXD8;0.05
BBG000NS26Q8;0.024
BBG000BSBZH7;0.064
BBG00X0VP8D9;0.034
BBG000BJ5HK0;0.021
BBG00W1PSSJ0;0.065
BBG0147BN6G2;0.015
BBG001YV1SM4;0.087
BBG000GZYVY1;0.026
BBG000BBZBV5;0.041
BBG000K3STR7;0.008
BBG00GX77LW3;0.016
BBG006Q0HY77;0.031
BBG000BLBVN4;0.03
BBG000BL8804;0.036
BBG000QY3XZ2;0.038
BBG000C2VBB0;0.023
BBG001HRFJG4;0.051
BBG000BJSBJ0;0.021
BBG000BGD7W6;0.033
BBG0016XJ8S0;0.091
BBG000BQQ2S6;0.022
BBG000BSLZY7;0.027
BBG000BNWG87;0.02
BBG00B6KGNN1;0.021
BBG009XW2WB8;0.04
BBG008GC8CP6;0.037
BBG000CL9VN6;0.031
BBG000BYYLS8;0.023
BBG000BFWF13;0.03
BBG000F4F1N0;0.025
BBG014L7D4G1;0.044
BBG000BDJL83;0.019
BBG000BB8SW7;0.022
BBG005CHLM96;0.027
BBG000BK6YX5;0.051
BBG001732GF9;0.014
BBG0014PFYM2;0.009
BBG000C0G1D1;0.024
BBG000BWRTS3;0.028
BBG009LM28K6;0.019
BBG000BQBYR3;0.025
BBG000BNF508;0.035
BBG000VDC3G9;0.005
BBG000F369C7;0.02
BBG000BCQ4P6;0.023
BBG000C8H633;0.03
BBG000BQ8KV2;0.036
BBG000BFXHL6;0.038
BBG000Q1NMJ4;0.015
BBG00HQ77DS2;0.038
BBG000R8ZVD1;0.041
BBG000BC2KW8;0.025
BBG00H2QQ8T5;0.044
BBG000VC0T95;0.033
BBG000BBZW12;0.032
BBG000GMGNB3;0.032
BBG009H04M17;0.03
BBG000TVRB50;0.05
BBG000BNPSQ9;0.022
BBG00JHNJW99;0.027
BBG002ZCK2V9;0.031
BBG00FWP4JW4;0.012
BBG00ZGF6SS3;0.052
BBG000PV27K3;0.017
BBG000BGBTC2;0.02
BBG00KHGQ0H4;0.134
BBG00RP60KV0;0.028
BBG012QVD574;0.114
BBG000BVYN55;0.021
BBG00M4RHBD0;0.049
BBG0100R9963;0.02
BBG000BCJ161;0.025
BBG00P17H053;0.159
BBG000R4Y9C1;0.038
BBG000BTHH16;0.014
BBG005CPNTQ2;0.033
BBG000N7MZ06;0.05
BBG00QNSY1H7;0.05
BBG00SHY90J5;0.041
BBG001M8HHB7;0.037
BBG000BNPS52;0.026
BBG000DQBZJ7;0.026
BBG000PKWCQ7;0.076
BBG00H1CY328;0.051
BBG000BK67C7;0.019
BBG000PVRDL2;0.027
BBG009S39JX6;0.023
BBG000TRJ294;0.013
BBG00JM9XLN6;0.03
BBG000F7RCJ1;0.035
BBG000BQC9V2;0.038
BBG000BBVJZ8;0.023
BBG00B6WH9G3;0.039
BBG00XS0FV56;0.069
BBG00GF8K4W4;0.067
BBG0035LY913;0.025
BBG00B6G7GL7;0.066
BBG00K20GVD2;0.059
BBG00X7L1C14;0.06
BBG000BP30Y0;0.028
BBG004S68B31;0.026
BBG000K82ZT8;0.015
BBG00PPS73P4;0.044
BBG00K53L394;0.038
BBG00MJDR6J9;0.031
BBG006B6PVN9;0.005
BBG007DJM539;0.021
BBG000CMRVH1;0.037
BBG000BR2TH3;0.02
BBG002458LF8;0.012
BBG000BZX1N5;0.018
BBG00GQK3WB5;0.045
BBG000NJGX84;0.019
BBG000HZ3562;0.075
BBG000FX3Y66;0.026
BBG000BX57K1;0.022
BBG000H8R0N8;0.034
BBG000BP0HX7;0.022
BBG000NN8497;0.121
BBG000BX5YM0;0.033
BBG000MM2P62;0.032
BBG000BWNFZ9;0.029
BBG00JH9TZ56;0.026
BBG00RP5HYS8;0.025
BBG00212PVZ5;0.044
BBG00JM7QBR6;0.078
BBG000C2BXK4;0.039
BBG000BV0VK7;0.025
BBG001KHJM17;0.044
BBG00Q011TW9;0.103
BBG000BRJ809;0.028
BBG000BK5DP1;0.024
BBG000BT5PG5;0.041
BBG000BHCP19;0.025
BBG000BS7KS3;0.021
BBG000BQZMH4;0.012
BBG0058KMH30;0.032
BBG000DM2BF3;0.043
BBG00P4R3079;0.029
BBG000PWTD92;0.028
BBG000BTQR96;0.031
BBG000BBDV81;0.023
BBG000R2YFG7;0.022
BBG001J2PFF5;0.078
BBG000DBD6F6;0.021
BBG000BKLH74;0.065
BBG0019K04R5;0.009
BBG001R1GCT0;0.067
BBG000PVGDH9;0.021
BBG000L4M7F1;0.021
BBG000CSRSG6;0.022
BBG000HG21Y3;0.023
BBG00FZYFVC5;0.03
BBG009PH3Q86;0.027
BBG000BY29C7;0.027
BBG000R04X57;0.018
BBG00DR7LTG2;0.036
BBG000BLMDQ9;0.025
BBG009Q036D0;0.026
BBG00B8NN386;0.026
BBG000BX3BL3;0.025
BBG000BT13B3;0.027
BBG000CKGBP2;0.012
BBG000F6YP24;0.042
BBG00HY6V6H5;0.02
BBG000BBKZD8;0.022
BBG000BFRF55;0.042
BBG00VJ17DS2;0.062
BBG000BLW102;0.037
BBG002583CV8;0.058
BBG000BRVKH0;0.04
BBG001MC8YF7;0.048
BBG003LYCMB1;0.014
BBG000PV3J62;0.02
BBG000BQ6CT5;0.032
BBG00VDHLSQ6;0.047
BBG000BCWG90;0.022
BBG00GSNPM07;0.026
BBG007WX14X0;0.053
BBG000PRJCX9;0.019
BBG000BVZP59;0.021
BBG000BWT790;0.061
BBG004RVFCY3;0.027
BBG00F6NKQX3;0.035
BBG000BCGHH7;0.051
BBG000BCWWV0;0.034
BBG000BKJ092;0.019
BBG000C2L2L0;0.029
BBG000C8D8G9;0.015
BBG000L8CBX4;0.023
BBG000BKRHQ7;0.015
BBG00YB1ZD58;0.044
BBG001PKMK06;0.053
BBG000C3NTN5;0.021
BBG000R33BD1;0.046
BBG0067QVJ50;0.04
BBG000BHG9K0;0.054
BBG000HF28Q9;0.018
BBG000C23KJ3;0.042
BBG000BJP882;0.023
BBG000BNMHS4;0.03
BBG000C46HM9;0.056
BBG000D9DMK0;0.026
BBG000BDD940;0.02
BBG000QXWHD1;0.049
BBG000LW3NX5;0.025
BBG000BDXCJ5;0.02
BBG005F1DK91;0.074
BBG000FJ0RK9;0.016
BBG00MMM95S7;0.076
BBG000BLRT07;0.026
BBG0145KL747;0.021
BBG000D0SMY8;0.019
BBG000DY6735;0.067
BBG000DSZTN6;0.037
BBG0029SNR63;0.043
BBG001J2QYS9;0.035
BBG000KGYRF8;0.092
BBG001ZZPQJ6;0.066
BBG000BQLTW7;0.025
BBG000PCQQL6;0.044
BBG000HL7499;0.026
BBG002YSC5M7;0.047
BBG00R4Z2NT4;0.034
BBG000BB6M98;0.011
BBG0078Y1D92;0.027
BBG000PRJ2Z9;0.039
BBG000BCPB71;0.02
BBG000R7XX87;0.041
BBG000SK7JS5;0.019
BBG000CZWZ05;0.025
BBG000BHTPZ4;0.028
BBG000BR37X2;0.016
BBG001D8R5D0;0.022
BBG000BHQJX3;0.052
BBG000PTSB12;0.042
BBG00R2JZG39;0.031
BBG000C2V3D6;0.028
BBG000BHJWG1;0.034
BBG000BBCDZ2;0.019
BBG00PZ78ZM0;0.07
BBG000GJS7C1;0.019
BBG000BBXB74;0.032
BBG000BMGPW0;0.019
BBG000DYGNW7;0.025
BBG001MFW6D6;0.026
BBG000H01H92;0.038
BBG000BFLXV3;0.027
BBG0027Z6X10;0.021
BBG000BF6756;0.021
BBG00D8JD9Z9;0.02
BBG009T22D49;0.034
BBG000DHXTF1;0.02
BBG006R5SSH5;0.073
BBG005Y3XWH9;0.028
BBG000BPZVW9;0.011
BBG000BD8ZK0;0.019
BBG000BBGQF1;0.035
BBG000BL9MZ4;0.023
BBG000VG1034;0.032
BBG000DBKR53;0.028
BBG000BC5WJ4;0.016
BBG000HJTMS9;0.032
BBG000BQPC32;0.025
BBG002B9T6Y1;0.017
BBG004731032;0.024
BBG000BKFZM4;0.027
BBG000TYXCT9;0.023
BBG00FQH6BS9;0.027
BBG000CCFB17;0.025
BBG000FQXC75;0.027
BBG000R607Y3;0.017
BBG000BH1NH9;0.038
BBG00QVJYGM9;0.053
BBG000BRNH31;0.001
BBG000BLMY92;0.015
BBG000BX8DC4;0.034
BBG000D2ZK61;0.024
BBG002H1K1H1;0.051
BBG005DJFD43;0.076
BBG000BM22F5;0.018
BBG000BG1SX2;0.033
BBG000H8LGK2;0.026
BBG000D4LWF6;0.016
BBG0029KJVB0;0.039
BBG000B9XG87;0.018
BBG000QJW156;0.02
BBG000BP46T2;0.027
BBG000LR8515;0.037
BBG004NLQHL0;0.066
BBG000BLGFJ9;0.016
BBG00PNR1BT2;0.067
BBG00225ZDD0;0.059
BBG001KY4N87;0.025
BBG000FQ6PY6;0.009
BBG000BXRPH1;0.018
BBG0035M2ZB7;0.027
BBG000J6XT05;0.016
BBG0025Y4RY4;0.014
BBG000PNTXP0;0.057
BBG0018SLC07;0.054
BBG000BWPP85;0.026
BBG000BL0T06;0.026
BBG000BF0672;0.024
BBG000FRVHB9;0.021
BBG000BCZBF1;0.026
BBG000BGGBT8;0.021
BBG000FFH4P5;0.019
BBG002YFXL29;0.025
BBG000C8NJ10;0.026
BBG000BX9WL1;0.025
BBG00BT7PPY8;0.119
BBG001BBSZV8;0.081
BBG000BBS2Y0;0.01
BBG00K4MPP27;0.008
BBG000BC1L02;0.018
BBG000LD9JQ8;0.04
BBG000BT0CM2;0.035
BBG000BJ49H3;0.026
BBG00LNJRQ09;0.028
BBG000BP0KQ8;0.015
BBG00QPYJ5H0;0.037
BBG000BDLCQ0;0.019
BBG000BRXTR8;0.022
BBG000CH5208;0.017
BBG005D7QCJ3;0.065
BBG000BJZ7V7;0.02
BBG0134WCM78;0.061
BBG00L2B8KW8;0.042
BBG000PSJMV7;0.033
BBG00P19DKZ6;0.059
BBG000DB3KT1;0.019
BBG000BCVG28;0.035
BBG000BW7X97;0.017
BBG000BWMX63;0.028
BBG000BGLRN3;0.023
BBG000D9KWL9;0.022
BBG000BRJL00;0.013
BBG000PZ0833;0.019
BBG000BLMXN8;0.024
BBG000RKXRQ1;0.025
BBG000JWD753;0.031
BBG0018FQNS6;0.032
BBG00W0KZD98;0.042
BBG000HHLBF9;0.043
BBG000RJ2J04;0.023
BBG003H0XV18;0.066
BBG000N2HDY5;0.035
BBG000G9W6L0;0.029
BBG000C43RR5;0.028
BBG000HGYNZ9;0.031
BBG004730N88;0.017
BBG000BHKYH4;0.025
BBG001C7PMJ2;0.057
BBG000C13CD9;0.036
BBG000C8L273;0.033
BBG000BCLYL9;0.018
BBG000MQ1SN9;0.015
BBG000BQVTF5;0.019
BBG000BR85F1;0.013
BBG000BGYWY6;0.026
BBG00Y7BP8Y1;0.093
BBG000BGX2S0;0.022
BBG000BJD7C2;0.031
BBG000MBHNC8;0.024
BBG000BLR3Y7;0.012
BBG000BS0ZF1;0.027
BBG001J4BCN4;0.054
BBG000NVSBL7;0.106
BBG000F8RCH1;0.021
BBG00DW0PN34;0.03
BBG000BJ2D31;0.025
BBG001KFKQM7;0.031
BBG000DHPN63;0.012
BBG001M6CZY1;0.024
BBG000BB4HM6;0.033
BBG000CVRFS4;0.03
BBG00Y6G6X31;0.088
BBG000B9ZLB0;0.042
BBG003MSMCS6;0.023
BBG00LPWLFD4;0.063
BBG000FW5ZL6;0.044
BBG000BVPV84;0.223
BBG004S689R0;0.02
BBG000D5S4M0;0.039
BBG0056JW5G6;0.074
BBG003BNWBP3;0.04
BBG004S68JR8;0.009
BBG0035WV4N9;0.043
BBG00M9BHPZ5;0.043
BBG00Y4RQNH4;0.036
BBG000Q4NZ54;0.029
BBG00F0SW7N8;0.037
BBG00NPL9WH7;0.276
BBG0018SLDN0;0.026
BBG0079T1PZ6;0.019
BBG000Q7ZZY2;0.035
BBG000NL6ZD9;0.012
BBG000CKGDS5;0.017
BBG000BBD5N1;0.015
BBG000PMSK08;0.033
BBG005DLMMZ6;0.028
BBG000CR20B1;0.031
BBG000JH6683;0.034
BBG000BCG930;0.015
BBG00YDGX945;0.036
BBG000KK3464;0.019
BBG000BC4185;0.041
BBG000F3CWW7;0.025
BBG00XP8NQN4;0.053
BBG000R5XCX9;0.034
BBG000BXPZB7;0.018
BBG00CBYY6M1;0.033
BBG000BVWZF9;0.027
BBG00G2HHYD7;0.024
BBG000BCTQ65;0.015
BBG000N7MXL8;0.056
BBG000C1HQ43;0.042
BBG000BN53G7;0.021
BBG00FN64XT9;0.049
BBG00NK8H8T2;0.02
BBG000BCRJM5;0.043
BBG00HY28K89;0.031
BBG000BGRB25;0.023
BBG00KY6K4L0;0.031
BBG000BPRN29;0.038
BBG000BQV1S2;0.038
BBG000BCQ6J8;0.033
BBG0039320N9;0.024
BBG00K7ZQ662;0.019
BBG000BM6N47;0.04
BBG000BPDDB6;0.017
BBG000BJCDS3;0.022
BBG000BH92D1;0.007
BBG000BTKR92;0.018
BBG000B9YJ35;0.02
BBG000DMBXR2;0.024
BBG000BQTMJ9;0.041
BBG000BMNBY1;0.024
BBG000HS74G6;0.018
BBG001C7PM75;0.027
BBG001CGB489;0.041
BBG000QF05R6;0.025
BBG000BVTPQ3;0.03
BBG005GBRSR6;0.024
BBG000BWSGF4;0.021
BBG000BKZB36;0.021
BBG000H3GDJ8;0.022
BBG006F8QZK4;0.037
BBG000J1QLT0;0.016
BBG000R466J1;0.007
BBG000BWBW76;0.046
BBG001WMKHH5;0.06
BBG000BL6CB5;0.046
BBG00KHRRDX3;0.055
BBG000BTR593;0.047
BBG00B6F2F09;0.064
BBG000GQGJT4;0.039
BBG00B6G8077;0.033
BBG000G7B4C2;0.05
BBG007NLG4L3;0.019
BBG000QDVR53;0.036
BBG000BP6LJ8;0.023
BBG001B17MV2;0.074
BBG00ZXBJ153;0.046
BBG000BBRPL4;0.014
BBG0026ZDDQ0;0.051
BBG007HWGYQ5;0.055
BBG0073F9RT7;0.028
BBG000BN3P07;0.029
BBG000BMSRR9;0.039
BBG00R45JYB7;0.039
BBG00HDGRHH7;0.045
BBG00441QMJ7;0.097
BBG000G3TQV2;0.015
BBG000BT0T72;0.008
BBG006HFPX77;0.068
BBG000C060M4;0.025
BBG000BKJG33;0.02
BBG000BJTZX0;0.015
BBG002832GV8;0.032
BBG000FVXD63;0.047
BBG000DKCC19;0.023
BBG000KTYB56;0.02
BBG000CF5097;0.029
BBG000BG88X9;0.025
BBG00GBVBK51;0.025
BBG000C2LZP3;0.027
BBG000BC3BJ2;0.023
BBG007KC7PB0;0.062
BBG000CZTB66;0.02
BBG001KY3845;0.015
BBG000F1ZSN5;0.021
BBG000BLV2Q3;0.036
BBG000BN5HF7;0.029
BBG000B9X8C0;0.013
BBG000DR5QP5;0.022
BBG000BN1M88;0.024
BBG000BRB5D9;0.012
BBG000BT7JW9;0.019
BBG00NN875G0;0.04
BBG000BN6KG8;0.016
BBG000BF4D19;0.014
BBG000BJ8YN7;0.017
BBG0077HPN74;0.077
BBG00B3T3HD3;0.042
BBG000C1DHF5;0.02
BBG000GTP1B6;0.107
BBG000BJKPG0;0.021
BBG000BSQLT9;0.017
BBG000BK6MB5;0.019
BBG000BB6R33;0.044
BBG000QCQ764;0.024
BBG00LMYX123;0.025
BBG0019JZ882;0.022
BBG005PG80K4;0.029
BBG000B9XYV2;0.025
BBG000F395V1;0.042
BBG00VDGP717;0.048
BBG000BRBX66;0.018
BBG000D54HT0;0.017
BBG000BDDNH5;0.027
BBG000BFSND8;0.031
BBG000DR0RZ7;0.054
BBG000H001V3;0.052
BBG000MDCQC2;0.017
BBG000BCWKD6;0.023
BBG000BVWLJ6;0.02
BBG000BCT197;0.021
BBG000BKY1G5;0.02
BBG00286S4N9;0.018
BBG0026ZFZC4;0.025
BBG000DJN7L9;0.02
BBG000BL16Q7;0.017
BBG000CSY9H9;0.057
BBG000BB99S3;0.023
BBG0059JSF49;0.04
BBG000FSMWC3;0.06
BBG0016SSV00;0.002
BBG000KHWT55;0.034
BBG001LWHLJ8;0.038
BBG00CWTTQ41;0.028
BBG000BPH299;0.015
BBG000DSQLQ0;0.016
BBG000BMX289;0.02
BBG000BHP8J4;0.068
BBG000FC7366;0.017
BBG005P7Q881;0.042
BBG000MXH9C1;0.093
BBG000J2XL74;0.018
BBG000BFQYY3;0.014
BBG000DLVDK3;0.034
BBG000BHZ5J9;0.038
BBG000S9XXB8;0.035
BBG000RJWGC4;0.022
BBG000BN56Q9;0.014
BBG000BG14P4;0.044
BBG002B04MT8;0.039
BBG000FXW512;0.029
BBG000BPGQ60;0.019
BBG000BW29L1;0.017
BBG000BQQH30;0.022
BBG000LV0836;0.023
BBG000BCD3D5;0.022
BBG000BLXZN1;0.036
BBG000C4LN67;0.024
BBG002GBMZG4;0.057
BBG000MTDW24;0.032
BBG000BGM5P8;0.064
BBG000BLMZK6;0.033
BBG000M44VW8;0.027
BBG000F5YH15;0.024
BBG000DRM643;0.026
BBG00LW7YK82;0.046
BBG00DL8NMV2;0.035
BBG001QYNR63;0.058
BBG000DPZHS3;0.005
BBG000WG2LQ1;0.03
BBG00Y61SZL5;0.072
BBG002DZS299;0.007
BBG000BWVSR1;0.014
BBG000BWB7V4;0.018
BBG000VLBCQ1;0.021
BBG000CGC1X8;0.029
BBG000DD0489;0.04
BBG009J8K7M0;0.042
BBG00DBBGRX1;0.046
BBG000C3W281;0.029
BBG002BC7WC5;0.051
BBG000DSMS70;0.042
BBG000GQ7K93;0.023
BBG00D8JC882;0.041
BBG000BPYD87;0.012
BBG0064N2T78;0.017
BBG000BVP5P2;0.023
BBG000F6ZWH2;0.049
BBG00741Y1N2;0.056
BBG000C7P5M7;0.0
BBG007DHGNJ4;0.061
BBG007HTCQT0;0.104
BBG00XV2T033;0.079
BBG000DX9JV7;0.032
BBG00BVR0D02;0.076
BBG000BFJT36;0.019
BBG000BB7SX7;0.019
BBG0145FSNR1;0.031
BBG000BWCKB6;0.03
BBG0022FDRY8;0.065
BBG000DN7P92;0.018
BBG000BHYT80;0.087
BBG000BLW530;0.023
BBG000C23PB0;0.014
BBG00ZNRRJM2;0.034
BBG000LYF3S8;0.012
BBG000C45984;0.016
BBG000BQNNP6;0.025
BBG008HD3V85;0.021
BBG000VC0FC1;0.028
BBG0056655S1;0.028
BBG0081NLHR0;0.028
BBG008NXC572;0.034
BBG000BWPR54;0.015
BBG000BPDXF8;0.017
BBG000H9LNX1;0.044
BBG0122M8031;0.019
BBG0029ZX840;0.061
BBG000CB8Q50;0.022
BBG000BJNGN9;0.029
BBG000CKVSG8;0.022
BBG000BVV7G1;0.021
BBG000M65M61;0.038
BBG011MCM288;0.051
BBG000BYZ0Q5;0.02
BBG000BNMMJ3;0.016
BBG0077VS2C0;0.027
BBG013QNJHP8;0.023
BBG000TY1CD1;0.016
BBG005497GZ3;0.029
BBG000H5G6L5;0.081
BBG00Y1DFV91;0.036
BBG0105XBRH0;0.036
BBG001DCCGR8;0.02
BBG000BP1Q11;0.022
BBG000BLK267;0.018
BBG005MX5GZ2;0.051
BBG000BKD3K9;0.041
BBG000BB72K8;0.015
BBG00BGKYH17;0.022
BBG000N7QR55;0.049
BBG000BS3CD1;0.028
BBG00GVXMJ74;0.092
BBG000F2XXP2;0.03
BBG000PQ4W72;0.054
BBG000HXNN20;0.014
BBG000BKZTP3;0.045
BBG000BGGTW5;0.028
BBG000BCQZS4;0.028
BBG0026ZJ304;0.056
BBG000BVKXQ5;0.055
BBG000BT7ZK6;0.02
BBG000MJRJJ2;0.046
BBG000PLF6N0;0.036
BBG000BVDBY2;0.024
BBG000BQ5DS5;0.023
BBG000BT1715;0.031
BBG000BSC0K9;0.064
BBG009S3NB30;0.023
BBG000H3YXF8;0.024
BBG000HCJMF9;0.024
BBG000BMTFR4;0.036
BBG000DNLMB0;0.034
BBG0027F0Y27;0.109
BBG000BMTX31;0.032
BBG000BD0TF8;0.023
BBG000CS0D96;0.028
BBG000Q1R1Y9;0.021
BBG000D54JC4;0.046
BBG001K1CT23;0.09
BBG000VFX6Y4;0.038
BBG000BMH2Q7;0.011
BBG000BRCHB4;0.027
BBG0019T5SG0;0.055
BBG006598YS8;0.032
BBG000BWQTD0;0.017
BBG000NDV1D4;0.013
BBG000C6CFJ5;0.025
BBG0044K5DM4;0.028
BBG001WTBC36;0.021
BBG000BDXGP9;0.023
BBG002V87SD0;0.033
BBG000F1ZSQ2;0.02
BBG000BBDZG3;0.024
BBG000BS9489;0.032
BBG00JXPFBN0;0.042
BBG000HSLV70;0.035
BBG000DMFQS2;0.027
BBG000BDDN94;0.041
BBG007FG0C23;0.017
BBG0065XPGX9;0.037
BBG000BRVP70;0.022
BBG000PXDL44;0.023
BBG00K7T3037;0.069
BBG000BG1DH3;0.004
BBG000BMFNP4;0.017
BBG000BV4DR6;0.027
BBG000PSXT64;0.081
BBG00XKM1DC3;0.06
BBG000BDSLD7;0.025
BBG000CTQBF3;0.024
BBG004S68758;0.035
BBG000BF0K17;0.019
BBG00172J7S9;0.028
BBG000BTGKK9;0.034
BBG000BZJQL8;0.019
BBG000BS9HN3;0.01
BBG0077VNXV6;0.037
BBG001JZPSQ2;0.044
BBG000FV1Z23;0.02
BBG000BGXZB5;0.05
BBG000DZJVH0;0.031
BBG000BGRY34;0.019
BBG000BKH263;0.052
BBG000QW7VC1;0.02
BBG00ZSDS6T8;0.059
BBG003981NS4;0.02
BBG00H2CS6K7;0.07
BBG000C41023;0.018
BBG000L9CV04;0.023
BBG000BBHXQ3;0.019
BBG00B8N0HG1;0.038
BBG000BFVZ83;0.016
BBG000QY6FL3;0.095
BBG004TC84Z8;0.025
BBG000BCCT76;0.031
TCS00A103X66;0.01
BBG000K4WS65;0.044
BBG000BSBBP1;0.016
BBG004S686N0;0.046
BBG000BWQFY7;0.028
BBG000P2TYL8;0.033
BBG008F2T3T2;0.026
BBG000BG5BL8;0.034
BBG001K61W36;0.042
BBG000BJF1Z8;0.031
BBG005PXTR70;0.034
BBG0077SYZV6;0.056
BBG000FQRVM3;0.023
BBG000P1K2X6;0.03
BBG009DFHWG6;0.031
BBG00W0L8GW3;0.053
BBG000C4ZZ10;0.06
